ID,householdID,gc004_1_,gc004_2_,gc005_1_,gc005_2_,gd001,gd002_3,ge006,ge007,ge008,ge010_6,ge010_7,ha000_w2_0,ga007s1,ga007s3,ga007s5,ga007s6
094004320002,0940043200,NA,NA,NA,NA,0,NA,800,1000,0,130000,7000,1,0,0,0,0
094004318001,0940043180,NA,NA,NA,NA,0,NA,500,300,0,5000,0,1,0,0,0,0
094004311002,0940043110,NA,NA,NA,NA,0,NA,100,0,0,1000,0,1,0,0,0,0
094004219001,0940042190,NA,NA,NA,NA,0,NA,1500,0,0,NA,NA,1,1,0,0,0
094004220002,0940042200,NA,NA,NA,NA,0,NA,200,100,0,2300,1200,1,0,0,0,0
094004215002,0940042150,NA,NA,NA,NA,0,NA,200,0,20,1000,0,1,1,0,0,0
094004217001,0940042170,NA,NA,NA,NA,0,NA,400,0,105,0,0,1,0,0,0,0
094004201001,0940042010,NA,NA,NA,NA,0,NA,NA,400,150,0,2200,1,0,0,0,0
094004213001,0940042130,NA,NA,NA,NA,0,NA,500,0,0,20000,0,1,0,0,0,0
094004223001,0940042230,NA,NA,NA,NA,0,NA,600,0,0,1000,1000,1,0,0,0,0
094004225001,0940042250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
094004216001,0940042160,NA,NA,NA,NA,0,NA,90,0,0,700,0,1,0,0,0,0
094004212002,0940042120,5,NA,NA,NA,0,NA,500,800,0,1500,0,1,0,0,0,0
194037213001,1940372130,NA,NA,NA,NA,0,NA,300,150,0,2000,10000,1,0,0,0,0
194037223002,1940372230,NA,NA,NA,NA,0,NA,800,0,50,12000,0,1,0,0,0,0
194037222002,1940372220,NA,NA,NA,NA,0,NA,400,100,300,6000,0,1,0,0,0,0
194037219002,1940372190,NA,NA,NA,NA,0,NA,500,0,NA,20000,0,1,0,0,0,0
194037214002,1940372140,NA,NA,NA,NA,0,NA,200,0,0,0,1500,1,0,0,0,0
194037202002,1940372020,NA,NA,NA,NA,0,NA,600,0,0,4500,0,1,0,0,0,0
194037206002,1940372060,NA,NA,NA,NA,0,NA,1000,0,0,30000,0,1,0,0,0,0
194037204001,1940372040,NA,NA,NA,NA,0,NA,500,280,0,5000,1000,1,0,0,0,0
194037224001,1940372240,NA,NA,NA,NA,0,NA,300,0,0,3500,0,1,0,0,0,0
194037220002,1940372200,NA,NA,NA,NA,0,NA,100,0,0,2000,0,1,0,0,0,0
194037211001,1940372110,NA,NA,NA,NA,2000,NA,95,0,0,0,0,1,0,0,0,0
194037227002,1940372270,NA,NA,NA,NA,0,NA,300,0,0,4500,0,1,0,0,0,0
194037212001,1940372120,NA,NA,NA,NA,0,NA,500,0,0,0,0,1,0,0,0,0
194037333001,1940373330,NA,NA,NA,NA,0,NA,NA,0,20,2400,0,1,0,0,0,0
194037342002,1940373420,NA,NA,NA,NA,0,NA,500,1000,700,4000,15000,1,0,0,0,0
194037301002,1940373010,NA,NA,NA,NA,0,NA,400,0,20,0,0,1,0,0,0,0
194037311002,1940373110,NA,NA,NA,NA,0,NA,120,0,200,4800,0,1,0,0,0,0
194037310002,1940373100,NA,NA,NA,NA,0,NA,200,0,50,4000,0,1,0,0,0,0
194037329001,1940373290,NA,NA,NA,NA,0,NA,30,0,2.5,3000,0,1,0,0,0,0
194037316001,1940373160,NA,NA,NA,NA,0,NA,400,0,30,500,0,1,0,0,0,0
194037314002,1940373140,NA,NA,NA,NA,0,NA,150,0,NA,1000,0,1,0,0,0,0
194037321002,1940373210,NA,NA,NA,NA,0,NA,NA,0,0,20000,0,1,0,0,0,0
194037306002,1940373060,NA,NA,NA,NA,0,NA,220,0,0,60000,0,1,0,0,0,0
194037325001,1940373250,NA,NA,NA,NA,0,NA,100,500,400,10000,0,1,0,0,0,0
194037345001,1940373450,NA,NA,NA,NA,0,NA,600,400,300,400,0,1,0,0,0,0
194037308001,1940373080,6,NA,40000,NA,0,NA,300,0,120,600,0,1,0,0,0,0
194037307002,1940373070,NA,NA,NA,NA,0,NA,400,0,300,8000,0,1,0,0,0,0
194037326001,1940373260,NA,NA,NA,NA,0,NA,100,0,0,9000,0,1,0,0,0,0
194037348002,1940373480,NA,NA,NA,NA,0,NA,300,0,0,300,0,1,0,0,0,0
194037317001,1940373170,NA,NA,NA,NA,NA,NA,250,0,0,550,0,1,0,0,0,0
194037328001,1940373280,NA,NA,NA,NA,0,NA,20,0,0,3000,0,1,0,0,0,0
194037347001,1940373470,NA,NA,NA,NA,0,NA,160,100,60,0,0,1,0,0,0,0
194037344001,1940373440,NA,NA,NA,NA,0,NA,300,0,0,1500,0,1,0,0,0,0
194037341001,1940373410,NA,NA,NA,NA,0,NA,300,0,42,1000,0,1,0,0,0,0
194037324001,1940373240,NA,NA,NA,NA,0,NA,550,0,0,5000,0,1,0,0,0,0
194037302001,1940373020,NA,NA,NA,NA,0,NA,750,0,0,450,0,1,0,0,0,0
194037343001,1940373430,NA,NA,NA,NA,0,NA,500,600,0,10000,0,1,0,0,0,0
194037332002,1940373320,NA,NA,NA,NA,0,NA,200,0,0,3600,0,1,0,0,0,0
194037335001,1940373350,NA,NA,NA,NA,0,NA,150,200,0,1000,0,1,0,0,0,0
194037327001,1940373270,NA,NA,NA,NA,0,NA,500,0,50,10000,0,1,0,0,0,0
194037346001,1940373460,NA,NA,NA,NA,0,NA,0,0,100,1000,0,1,0,0,0,0
194037330001,1940373300,NA,NA,NA,NA,0,NA,500,0,50,20,0,1,0,0,0,0
194037336001,1940373360,NA,NA,NA,NA,0,NA,200,0,0,10000,0,1,0,0,0,0
194037338001,1940373380,NA,NA,NA,NA,0,NA,80,0,0,1000,0,1,0,0,0,0
194037334001,1940373340,NA,NA,NA,NA,0,NA,400,0,0,1000,0,1,0,0,0,0
194037318002,1940373180,NA,NA,NA,NA,0,NA,300,0,0,3000,0,1,0,0,0,0
194037349001,1940373490,NA,NA,NA,NA,0,NA,150,0,320,10000,0,1,0,0,0,0
194037312001,1940373120,NA,NA,NA,NA,0,NA,500,0,0,3000,0,1,0,0,0,0
064028313002,0640283130,NA,NA,NA,NA,0,NA,50,0,0,0,0,1,0,0,0,0
064028316002,0640283160,NA,NA,NA,NA,0,NA,300,400,0,200,0,1,0,0,0,0
064028307001,0640283070,NA,NA,NA,NA,0,NA,200,0,0,6000,600,1,0,0,0,0
064028317001,0640283170,NA,NA,NA,NA,0,NA,200,100,0,300,500,1,0,0,0,0
064028314001,0640283140,NA,NA,NA,NA,0,NA,100,0,100,2000,0,1,0,0,0,0
064028310001,0640283100,NA,NA,NA,NA,0,NA,50,0,0,500,0,1,0,0,0,0
064028304001,0640283040,NA,NA,NA,NA,0,NA,500,200,0,0,0,1,0,0,0,0
064028312001,0640283120,NA,NA,NA,NA,0,NA,300,0,0,0,0,1,0,0,0,0
064028301001,0640283010,NA,NA,NA,NA,0,NA,200,0,0,1200,0,1,0,0,0,0
064028106001,0640281060,NA,NA,NA,NA,0,NA,200,0,0,0,0,1,0,0,0,0
064028109001,0640281090,NA,NA,NA,NA,0,NA,200,200,200,0,0,1,0,0,0,0
064028105002,0640281050,NA,NA,NA,NA,0,NA,200,0,0,0,0,1,0,0,0,0
064028101002,0640281010,NA,NA,NA,NA,0,NA,300,0,0,20000,20000,1,0,0,0,0
064028124002,0640281240,NA,NA,NA,NA,0,NA,200,0,50,20500,0,1,0,0,0,0
064028108002,0640281080,NA,NA,NA,NA,0,NA,250,200,100,0,3500,1,0,0,0,0
064028102001,0640281020,NA,NA,NA,NA,0,NA,500,0,0,0,0,1,0,0,0,0
064028111001,0640281110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
064028110003,0640281100,NA,NA,NA,NA,0,NA,200,0,0,10000,0,1,0,0,0,0
064028103001,0640281030,NA,NA,NA,NA,0,NA,400,0,0,0,200,1,0,0,0,0
064028115001,0640281150,NA,NA,NA,NA,0,NA,200,0,0,500,0,1,0,0,0,0
064028114002,0640281140,NA,NA,NA,NA,0,NA,1000,0,0,10000,0,1,0,0,0,0
064028122001,0640281220,NA,NA,NA,NA,0,NA,300,2000,0,3600,0,1,0,0,0,0
064028104002,0640281040,NA,NA,NA,NA,0,NA,210,0,0,7000,0,1,0,0,0,0
064028113002,0640281130,NA,NA,NA,NA,0,NA,400,0,100,0,4000,1,0,0,0,0
064028208002,0640282080,NA,NA,NA,NA,0,NA,200,0,100,0,0,1,0,0,0,0
064028218002,0640282180,NA,NA,NA,NA,0,NA,300,0,30,1000,0,1,0,0,0,0
064028207002,0640282070,NA,NA,NA,NA,0,NA,500,0,NA,2000,0,1,0,0,0,0
064028217001,0640282170,NA,NA,NA,NA,0,NA,700,0,NA,2000,0,1,0,0,0,0
064028223001,0640282230,NA,NA,NA,NA,0,NA,150,0,0,300,0,1,0,0,0,0
064028205001,0640282050,NA,NA,NA,NA,0,NA,NA,0,0,0,200,1,0,0,0,0
064028203002,0640282030,NA,NA,NA,NA,0,NA,450,0,100,60000,0,1,0,0,0,0
064028213001,0640282130,NA,NA,NA,NA,0,NA,0,0,0,2500,0,1,0,0,0,0
064028221001,0640282210,NA,NA,NA,NA,0,NA,250,0,0,1000,0,1,0,0,0,0
064028226002,0640282260,NA,NA,NA,NA,0,NA,900,0,400,5000,0,1,0,0,0,0
064028204002,0640282040,NA,NA,NA,NA,0,NA,350,0,0,0,0,1,0,0,0,0
064028220001,0640282200,NA,NA,NA,NA,0,NA,20,50,50,0,20,1,0,0,0,0
064028206001,0640282060,NA,NA,NA,NA,0,NA,100,0,0,700,0,1,0,0,0,0
064028216001,0640282160,NA,NA,NA,NA,0,NA,500,1000,20,0,500,1,0,0,0,0
064028209001,0640282090,NA,NA,NA,NA,0,NA,300,100,0,0,0,1,0,0,0,0
064028219002,0640282190,NA,NA,NA,NA,0,NA,300,0,0,0,0,1,0,0,0,0
064028211001,0640282110,NA,NA,NA,NA,0,NA,500,0,0,12000,0,1,0,0,0,0
064028224001,0640282240,NA,NA,NA,NA,0,NA,500,100,0,30000,1000,1,0,0,0,0
064028214001,0640282140,NA,NA,NA,NA,0,NA,420,0,0,0,0,1,0,0,0,0
064028202001,0640282020,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,0,0,0,0
064033321002,0640333210,NA,NA,NA,NA,0,NA,0,0,0,60,0,1,0,0,0,0
064033327002,0640333270,NA,NA,NA,NA,0,NA,150,0,0,6000,0,1,0,0,0,0
064033325001,0640333250,NA,NA,NA,NA,0,NA,100,0,100,3000,0,1,0,0,0,0
064033322001,0640333220,NA,NA,NA,NA,0,NA,50,0,20,2000,0,1,0,0,0,0
064033330002,0640333300,NA,NA,NA,NA,0,NA,300,0,30,2000,0,1,0,0,0,0
064033341001,0640333410,NA,NA,NA,NA,0,NA,1050,0,20,500,0,1,0,0,0,0
064033324002,0640333240,NA,NA,NA,NA,0,NA,1700,0,0,17000,0,1,0,0,0,0
064033333001,0640333330,NA,NA,NA,NA,0,NA,60,0,60,30000,0,1,0,0,0,0
064033306002,0640333060,NA,NA,NA,NA,0,NA,160,0,0,2000,0,1,0,0,0,0
064033301001,0640333010,NA,NA,NA,NA,0,NA,300,0,80,5000,0,1,0,0,0,0
064033342002,0640333420,NA,NA,NA,NA,0,NA,20,0,30,5000,0,1,0,0,0,0
064033331002,0640333310,NA,NA,NA,NA,1000,NA,15,0,0,1000,0,1,0,0,0,0
064033303001,0640333030,NA,NA,NA,NA,0,NA,300,0,0,0,0,1,0,0,0,0
064033340002,0640333400,NA,NA,NA,NA,0,NA,0,0,0,100,0,1,0,0,0,0
064033336001,0640333360,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,0,0,0,0
064033304001,0640333040,NA,NA,NA,NA,0,NA,15,0,0,1600,0,1,0,0,0,0
064033343001,0640333430,NA,NA,NA,NA,0,NA,300,0,0,0,0,1,0,0,0,0
064033337001,0640333370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
064033307001,0640333070,NA,NA,NA,NA,0,NA,0,0,40,100,0,1,0,0,0,0
064033326001,0640333260,NA,NA,NA,NA,0,NA,0,0,0,500,0,1,0,0,0,0
064033320001,0640333200,3,NA,5000,NA,0,NA,200,0,50,5000,0,1,0,0,0,0
064033308001,0640333080,NA,NA,NA,NA,0,NA,30,0,0,0,0,1,0,0,0,0
064033334001,0640333340,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,0,0,0,0
064033319002,0640333190,NA,NA,NA,NA,0,NA,300,0,0,12000,0,1,0,0,0,0
064033313002,0640333130,NA,NA,NA,NA,0,NA,0,0,30,300,0,1,0,0,0,0
064033316002,0640333160,NA,NA,NA,NA,0,NA,85,0,150,500,0,1,0,0,0,0
064033335002,0640333350,NA,NA,NA,NA,0,NA,40,0,25,400,0,1,0,0,0,0
064033314002,0640333140,NA,NA,NA,NA,0,NA,2,0,0,0,0,1,0,0,0,0
064033318002,0640333180,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,0,0,0,0
064033328001,0640333280,NA,NA,NA,NA,0,NA,150,80,50,2000,0,1,0,0,0,0
064033338002,0640333380,NA,NA,NA,NA,0,NA,300,0,100,0,0,1,0,0,0,0
064033317001,0640333170,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,1,1,0,0,0
064033323001,0640333230,NA,NA,NA,NA,NA,NA,NA,NA,0,35000,0,1,0,0,0,0
064033339001,0640333390,NA,NA,NA,NA,0,NA,NA,0,0,2200,0,1,0,0,0,0
064033302001,0640333020,NA,NA,NA,NA,0,NA,100,0,0,0,0,1,0,0,0,0
064033309001,0640333090,NA,NA,NA,NA,0,NA,300,0,0,10,0,1,0,0,0,0
064033329002,0640333290,NA,NA,NA,NA,0,NA,NA,0,21,NA,0,1,0,0,0,0
064033312001,0640333120,NA,NA,NA,NA,0,NA,NA,0,7.5,100,0,1,0,0,0,0
064033311002,0640333110,NA,NA,NA,NA,0,NA,600,0,0,40000,0,1,0,0,0,0
064033332001,0640333320,NA,NA,NA,NA,0,NA,100,0,0,4000,0,1,0,0,0,0
064033310001,0640333100,NA,NA,NA,NA,0,NA,10,0,0,500,0,1,0,0,0,0
064033221002,0640332210,NA,NA,NA,NA,0,NA,30,0,0,2000,0,1,0,0,0,0
064033234001,0640332340,NA,NA,NA,NA,0,NA,100,0,0,2000,0,1,0,0,0,0
064033207002,0640332070,NA,NA,NA,NA,0,NA,0,0,0,2000,0,5,0,0,0,0
064033223002,0640332230,NA,NA,NA,NA,0,NA,50,0,0,0,0,2,0,0,0,0
064033212002,0640332120,NA,NA,NA,NA,0,NA,50,0,0,2000,0,1,0,0,0,0
064033219002,0640332190,NA,NA,NA,NA,0,NA,100,0,0,1000,0,1,0,0,0,0
064033215001,0640332150,NA,NA,NA,NA,0,NA,NA,0,NA,500,0,1,0,0,0,0
064033225001,0640332250,NA,NA,NA,NA,0,NA,30,0,0,0,0,1,0,0,0,0
064033213001,0640332130,NA,NA,NA,NA,0,NA,10,0,20,1000,0,1,0,0,0,0
064033232002,0640332320,NA,NA,NA,NA,0,NA,250,0,17.5,0,0,1,0,0,0,0
064033201001,0640332010,NA,NA,NA,NA,0,NA,NA,0,0,1000,0,1,0,0,0,0
064033208002,0640332080,NA,NA,NA,NA,0,NA,70,200,0,0,0,1,0,0,0,0
064033230001,0640332300,NA,NA,NA,NA,0,NA,NA,0,0,60,0,1,0,0,0,0
064033203001,0640332030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
064033209002,0640332090,NA,NA,NA,NA,0,NA,130,0,0,15000,0,1,0,0,0,0
064033206001,0640332060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
064033226001,0640332260,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,0,0,0,0
064033220002,0640332200,NA,NA,NA,NA,0,NA,200,0,100,30000,0,1,0,0,0,0
064033210001,0640332100,NA,NA,NA,NA,0,NA,NA,0,0,3000,0,1,0,0,0,0
064033228001,0640332280,5,NA,NA,NA,0,NA,70,0,0,2000,0,1,0,0,0,0
064033217001,0640332170,NA,NA,NA,NA,0,NA,300,0,100,NA,0,1,0,0,0,0
064033231001,0640332310,NA,NA,NA,NA,0,NA,NA,0,0,200,0,1,0,0,0,0
064033211001,0640332110,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,0,0,0,0
064033235002,0640332350,NA,NA,NA,NA,0,NA,0,0,0,0,5000,1,0,0,0,0
064033224001,0640332240,4,NA,NA,NA,0,NA,40,0,0,600,0,1,0,0,0,0
064033216002,0640332160,NA,NA,NA,NA,0,NA,100,0,45,600,0,1,0,0,0,0
064033229001,0640332290,NA,NA,NA,NA,0,NA,100,0,0,400,0,1,0,0,0,0
064033202001,0640332020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
064033218001,0640332180,NA,NA,NA,NA,0,NA,100,0,5,200,0,1,0,0,0,0
064033214002,0640332140,NA,NA,NA,NA,0,NA,150,0,0,2500,0,1,0,0,0,0
064033222001,0640332220,NA,NA,NA,NA,0,NA,60,0,0,200,0,1,0,0,0,0
064033204002,0640332040,NA,NA,NA,NA,0,NA,15,0,0,50,0,1,0,0,0,0
064033103001,0640331030,NA,NA,NA,NA,0,NA,40,0,25,50000,0,1,0,0,0,0
064033122003,0640331220,NA,NA,NA,NA,0,NA,200,0,0,6000,0,1,0,0,0,0
064033110001,0640331100,NA,NA,NA,NA,NA,NA,80,0,0,300,0,1,0,0,0,0
064033108001,0640331080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
064033127002,0640331270,NA,NA,NA,NA,0,NA,200,0,200,1500,0,1,0,0,0,0
064033120002,0640331200,NA,NA,NA,NA,0,NA,50,0,0,3000,0,1,0,0,0,0
064033123001,0640331230,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,0,0,0,0
064033130001,0640331300,NA,NA,NA,NA,0,NA,50,0,0,0,0,1,0,0,0,0
064033119001,0640331190,NA,NA,NA,NA,0,NA,NA,1500,NA,0,0,1,0,0,0,0
064033128001,0640331280,NA,NA,NA,NA,2000,NA,200,0,0,0,0,1,0,0,0,0
064033109002,0640331090,NA,NA,NA,NA,0,NA,140,50,56,0,0,5,0,0,0,0
064033117002,0640331170,5,NA,55000,NA,0,NA,250,0,70,0,0,1,0,0,0,0
064033106001,0640331060,NA,NA,NA,NA,0,NA,55,0,42,10000,0,1,0,0,0,0
064033116001,0640331160,NA,NA,NA,NA,6000,NA,NA,0,0,200,0,1,0,0,0,0
064033101001,0640331010,NA,NA,NA,NA,0,NA,300,0,200,1000,0,1,0,0,0,0
064033124002,0640331240,NA,NA,NA,NA,0,NA,100,0,0,500,0,1,0,0,0,0
064033129001,0640331290,NA,NA,NA,NA,0,NA,200,0,5,0,0,1,0,0,0,0
064033102002,0640331020,NA,NA,NA,NA,0,NA,80,0,0,500,0,1,0,0,0,0
064033111001,0640331110,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,5,0,0,0,0
064033125002,0640331250,NA,NA,NA,NA,0,NA,100,0,0,1000,0,1,0,0,0,0
064033126001,0640331260,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,1,0,0,0,0
064033114001,0640331140,NA,NA,NA,NA,0,NA,200,0,0,1000,0,1,0,0,0,0
064033113001,0640331130,NA,NA,NA,NA,0,NA,NA,0,0,3000,0,1,0,0,0,0
064033118001,0640331180,NA,NA,NA,NA,0,NA,40,0,NA,300,0,1,0,0,0,0
064033112002,0640331120,NA,NA,NA,NA,0,NA,200,0,30,500,0,1,0,0,0,0
064033132001,0640331320,NA,NA,NA,NA,2000,NA,0,0,25,4000,8000,1,0,0,0,0
064033131002,0640331310,NA,NA,NA,NA,0,NA,350,0,0,350,0,1,2,0,0,0
064033115002,0640331150,NA,NA,NA,NA,0,NA,20,0,10,0,0,1,0,0,0,0
064033104001,0640331040,NA,NA,NA,NA,0,NA,80,0,0,400,0,1,0,0,0,0
064033105002,0640331050,NA,NA,NA,NA,0,NA,35,0,0,75,0,1,0,0,0,0
064033107002,0640331070,NA,NA,NA,NA,0,NA,30,0,0,2000,0,1,0,0,0,0
060481308002,0604813080,NA,NA,NA,NA,0,NA,300,0,200,6000,0,1,0,0,0,0
060481310002,0604813100,NA,NA,NA,NA,0,NA,50,0,0,1000,0,1,0,0,0,0
060481301002,0604813010,NA,NA,NA,NA,0,NA,10,0,0,5000,0,1,0,0,0,0
060481312001,0604813120,NA,NA,NA,NA,0,NA,100,0,0,1500,0,1,0,0,0,0
060481322002,0604813220,NA,NA,NA,NA,0,NA,10,0,0,2000,0,1,0,0,0,0
060481303001,0604813030,NA,NA,NA,NA,0,NA,100,0,42,0,0,1,0,0,0,0
060481325001,0604813250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
060481309003,0604813090,NA,NA,NA,NA,0,NA,150,0,100,1000,0,1,0,0,0,0
060481307002,0604813070,NA,NA,NA,NA,0,NA,100,0,15,3000,0,1,0,0,0,0
060481320002,0604813200,NA,NA,NA,NA,0,NA,200,0,0,0,0,1,0,0,0,0
060481302001,0604813020,NA,NA,NA,NA,0,NA,NA,40,NA,NA,NA,1,0,0,0,0
060481313001,0604813130,NA,NA,NA,NA,0,NA,70,0,0,0,0,1,0,0,0,0
060481331002,0604813310,NA,NA,NA,NA,0,NA,150,0,0,350,0,1,0,0,0,0
060481316001,0604813160,NA,NA,NA,NA,0,NA,75,0,0,2500,0,1,0,0,0,0
060481326001,0604813260,1,NA,25000,NA,0,NA,300,200,0,NA,0,1,0,0,0,0
060481328001,0604813280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
060481318001,0604813180,NA,NA,NA,NA,100,NA,20,0,0,10000,0,1,0,0,0,0
060481323001,0604813230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
060481327002,0604813270,NA,NA,NA,NA,0,NA,300,0,0,2000,0,1,0,0,0,0
060481317001,0604813170,NA,NA,NA,NA,0,NA,60,0,0,150,0,1,0,0,0,0
060481329002,0604813290,NA,NA,NA,NA,0,NA,500,0,0,400,0,1,0,0,0,0
060481321002,0604813210,NA,NA,NA,NA,0,NA,40,0,10,200,0,1,0,0,0,0
060481305001,0604813050,NA,NA,NA,NA,0,NA,500,0,0,1000,0,1,0,0,0,0
060481332001,0604813320,NA,NA,NA,NA,0,NA,200,0,0,1000,0,1,0,0,0,0
060481304002,0604813040,NA,NA,NA,NA,0,NA,100,0,70,2000,0,1,0,0,0,0
060481330001,0604813300,NA,NA,NA,NA,0,NA,300,0,20,0,0,1,0,0,0,0
060481319002,0604813190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
060481311001,0604813110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
060481324002,0604813240,NA,NA,NA,NA,0,NA,100,30,10,2000,0,1,0,0,0,0
060481132002,0604811320,NA,NA,NA,NA,0,NA,50,0,0,1000,0,1,0,0,0,0
060481102001,0604811020,NA,NA,NA,NA,0,NA,NA,0,25,1000,0,1,0,0,0,0
060481136001,0604811360,NA,NA,NA,NA,0,NA,150,80,0,2000,300,1,0,0,0,0
060481118001,0604811180,NA,NA,NA,NA,0,NA,120,0,0,0,0,1,0,0,0,0
060481109001,0604811090,NA,NA,NA,NA,0,NA,100,0,100,4500,0,1,0,0,0,0
060481111002,0604811110,NA,NA,NA,NA,0,NA,65,0,0,300,0,1,0,0,0,0
060481101002,0604811010,NA,NA,NA,NA,0,NA,400,30,0,1000,0,1,0,0,0,0
060481125002,0604811250,NA,NA,NA,NA,0,NA,100,0,0,0,0,1,0,0,0,0
060481107002,0604811070,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,1,0,0,0,0
060481114001,0604811140,NA,NA,NA,NA,0,NA,50,0,0,3000,100,1,0,0,0,0
060481128001,0604811280,NA,NA,NA,NA,0,NA,120,0,0,3000,0,1,0,0,0,0
060481104002,0604811040,NA,NA,NA,NA,0,NA,200,0,0,8000,0,1,0,0,0,0
060481108001,0604811080,NA,NA,NA,NA,0,NA,200,0,100,0,0,1,0,0,0,0
060481123001,0604811230,NA,NA,NA,NA,0,NA,100,0,0,300,0,1,0,0,0,0
060481124001,0604811240,NA,NA,NA,NA,0,NA,200,10,0,800,0,1,0,0,0,0
060481120001,0604811200,NA,NA,NA,NA,0,NA,75,0,55,20,0,1,1,0,0,0
060481112002,0604811120,NA,NA,NA,NA,0,NA,NA,0,0,0,0,1,0,0,0,0
060481133002,0604811330,NA,NA,NA,NA,0,NA,100,0,50,1500,0,1,0,0,0,0
060481110001,0604811100,NA,NA,NA,NA,0,NA,70,300,45.5,50,0,1,0,0,0,0
060481122002,0604811220,NA,NA,NA,NA,0,NA,100,0,0,0,0,1,0,0,0,0
060481119001,0604811190,NA,NA,NA,NA,0,NA,110,0,50,500,0,1,0,0,0,0
060481130002,0604811300,NA,NA,NA,NA,0,NA,100,0,20,0,0,1,0,0,0,0
060481127001,0604811270,NA,NA,NA,NA,0,NA,NA,0,56,10000,0,1,0,0,0,0
060481117002,0604811170,NA,NA,NA,NA,0,NA,100,0,0,20000,0,1,0,0,0,0
